n,machine_id,round,workload
80000,5,13,17
80000,5,14,14
80000,5,15,14
80000,5,16,12
80000,5,17,4
80000,5,18,2
80000,5,19,3
80000,5,20,2
80000,6,1,15
80000,6,2,30
80000,6,3,28
80000,6,4,42
80000,6,5,48
80000,6,6,47
80000,6,7,55
80000,6,8,42
80000,6,9,32
80000,6,10,25
80000,6,11,45
80000,6,12,37
80000,6,13,35
80000,6,14,17
80000,6,15,15
80000,6,16,10
80000,6,17,7
80000,6,18,3
80000,6,19,5
80000,6,20,4
80000,7,1,21
80000,7,2,22
80000,7,3,49
80000,7,4,43
80000,7,5,52
80000,7,6,52
80000,7,7,53
80000,7,8,46
80000,7,9,36
80000,7,10,34
80000,7,11,30
80000,7,12,38
80000,7,13,26
80000,7,14,20
80000,7,15,12
80000,7,16,9
80000,7,17,6
80000,7,18,4
80000,7,19,2
80000,7,20,2
80000,8,1,11
80000,8,2,16
80000,8,3,28
80000,8,4,34
80000,8,5,52
80000,8,6,53
80000,8,7,49
80000,8,8,47
80000,8,9,34
80000,8,10,39
80000,8,11,40
80000,8,12,23
80000,8,13,27
80000,8,14,18
80000,8,15,12
80000,8,16,7
80000,8,17,2
80000,8,18,8
80000,8,19,7
80000,8,20,4
80000,9,1,15
80000,9,2,17
80000,9,3,22
80000,9,4,46
80000,9,5,58
80000,9,6,44
80000,9,7,46
80000,9,8,54
80000,9,9,43
80000,9,10,52
80000,9,11,36
80000,9,12,36
80000,9,13,28
80000,9,14,18
80000,9,15,3
80000,9,16,12
80000,9,17,6
80000,9,18,6
80000,9,19,6
80000,9,20,1
120000,0,1,26
120000,0,2,36
120000,0,3,31
120000,0,4,61
120000,0,5,53
120000,0,6,63
120000,0,7,68
120000,0,8,78
120000,0,9,78
120000,0,10,61
120000,0,11,55
120000,0,12,37
120000,0,13,47
120000,0,14,35
120000,0,15,19
120000,0,16,19
120000,0,17,19
120000,0,18,11
120000,0,19,5
120000,0,20,5
120000,0,21,4
120000,1,1,25
120000,1,2,18
120000,1,3,51
120000,1,4,59
120000,1,5,41
120000,1,6,78
120000,1,7,70
120000,1,8,81
120000,1,9,84
120000,1,10,59
120000,1,11,58
120000,1,12,38
120000,1,13,45
120000,1,14,29
120000,1,15,23
120000,1,16,23
120000,1,17,11
120000,1,18,8
120000,1,19,5
120000,1,20,4
120000,1,21,2
120000,2,1,22
120000,2,2,23
120000,2,3,38
120000,2,4,59
120000,2,5,61
120000,2,6,70
120000,2,7,58
120000,2,8,79
120000,2,9,74
120000,2,10,67
120000,2,11,48
120000,2,12,36
120000,2,13,40
120000,2,14,31
120000,2,15,21
120000,2,16,14
120000,2,17,16
120000,2,18,11
120000,2,19,6
120000,2,20,6
120000,2,21,2
120000,3,1,19
120000,3,2,24
120000,3,3,33
120000,3,4,61
120000,3,5,60
120000,3,6,62
120000,3,7,66
120000,3,8,74
120000,3,9,65
120000,3,10,63
120000,3,11,50
120000,3,12,35
120000,3,13,42
120000,3,14,35
120000,3,15,25
120000,3,16,17
120000,3,17,14
120000,3,18,14
120000,3,19,6
120000,3,20,5
120000,3,21,1
120000,4,1,20
120000,4,2,24
120000,4,3,41
120000,4,4,58
120000,4,5,54
120000,4,6,71
120000,4,7,63
120000,4,8,59
120000,4,9,57
120000,4,10,87
120000,4,11,55
120000,4,12,38
120000,4,13,43
120000,4,14,30
120000,4,15,24
120000,4,16,18
120000,4,17,14
120000,4,18,10
120000,4,19,2
120000,4,20,3
120000,4,21,3
120000,5,1,11
120000,5,2,25
120000,5,3,40
120000,5,4,65
120000,5,5,60
120000,5,6,74
120000,5,7,67
120000,5,8,70
120000,5,9,87
120000,5,10,57
120000,5,11,64
120000,5,12,40
120000,5,13,41
120000,5,14,28
120000,5,15,28
120000,5,16,20
120000,5,17,15
120000,5,18,8
120000,5,19,8
120000,5,20,3
120000,5,21,3
120000,6,1,19
120000,6,2,25
120000,6,3,42
120000,6,4,53
120000,6,5,43
120000,6,6,68
120000,6,7,56
120000,6,8,80
120000,6,9,79
120000,6,10,63
120000,6,11,45
120000,6,12,33
120000,6,13,40
120000,6,14,28
120000,6,15,24
120000,6,16,18
120000,6,17,11
120000,6,18,10
120000,6,19,8
120000,6,20,6
120000,6,21,3
120000,7,1,20
120000,7,2,30
120000,7,3,44
120000,7,4,54
120000,7,5,63
120000,7,6,78
120000,7,7,51
120000,7,8,70
120000,7,9,69
120000,7,10,68
120000,7,11,59
120000,7,12,41
120000,7,13,40
120000,7,14,28
120000,7,15,32
120000,7,16,29
120000,7,17,10
120000,7,18,6
120000,7,19,7
120000,7,20,5
120000,7,21,2
120000,8,1,18
120000,8,2,24
120000,8,3,36
120000,8,4,55
120000,8,5,50
120000,8,6,70
120000,8,7,56
120000,8,8,77
120000,8,9,90
120000,8,10,65
120000,8,11,47
120000,8,12,37
120000,8,13,45
120000,8,14,41
120000,8,15,28
120000,8,16,12
120000,8,17,12
120000,8,18,9
120000,8,19,6
120000,8,20,3
120000,8,21,2
120000,9,1,18
120000,9,2,22
120000,9,3,28
120000,9,4,59
120000,9,5,55
120000,9,6,77
120000,9,7,60
120000,9,8,75
120000,9,9,62
120000,9,10,70
120000,9,11,52
120000,9,12,34
120000,9,13,48
120000,9,14,34
120000,9,15,20
120000,9,16,21
120000,9,17,17
120000,9,18,8
120000,9,19,14
120000,9,20,8
120000,9,21,4
160000,0,1,21
160000,0,2,35
160000,0,3,53
160000,0,4,51
160000,0,5,79
160000,0,6,91
160000,0,7,96
160000,0,8,91
160000,0,9,84
160000,0,10,84
160000,0,11,88
160000,0,12,52
160000,0,13,49
160000,0,14,40
160000,0,15,33
160000,0,16,21
160000,0,17,22
160000,0,18,20
160000,0,19,14
160000,0,20,17
160000,0,21,4
160000,0,22,2
160000,0,23,1
160000,1,1,33
160000,1,2,41
160000,1,3,57
160000,1,4,52
160000,1,5,56
160000,1,6,95
160000,1,7,91
160000,1,8,89
160000,1,9,87
160000,1,10,87
160000,1,11,77
160000,1,12,70
160000,1,13,40
160000,1,14,38
160000,1,15,34
160000,1,16,28
160000,1,17,21
160000,1,18,15
160000,1,19,11
160000,1,20,14
160000,1,21,6
160000,1,22,5
160000,1,23,2
160000,2,1,18
160000,2,2,33
160000,2,3,37
160000,2,4,59
160000,2,5,76
160000,2,6,76
160000,2,7,110
160000,2,8,102
160000,2,9,77
160000,2,10,90
160000,2,11,98
160000,2,12,72
160000,2,13,58
160000,2,14,60
160000,2,15,21
160000,2,16,28
160000,2,17,34
160000,2,18,17
160000,2,19,11
160000,2,20,13
160000,2,21,8
160000,2,22,2
160000,2,23,5
160000,3,1,25
160000,3,2,30
160000,3,3,45
160000,3,4,57
160000,3,5,89
160000,3,6,93
160000,3,7,98
160000,3,8,80
160000,3,9,67
160000,3,10,92
160000,3,11,92
160000,3,12,68
160000,3,13,58
160000,3,14,39
160000,3,15,29
160000,3,16,33
160000,3,17,20
160000,3,18,9
160000,3,19,16
160000,3,20,11
160000,3,21,2
160000,3,22,5
160000,3,23,2
160000,4,1,26
160000,4,2,34
160000,4,3,40
160000,4,4,52
160000,4,5,82
160000,4,6,96
160000,4,7,98
